,0
"Alabama 2012 NA, bid 1",6508.0
"Alabama 2012 NA, bid 2",3254.0
"Alabama 2012 NA, bid 3",2169.3333333333335
"Alabama 2012 NA, bid 4",1627.0
"Alabama 2012 NA, bid 5",1301.6
"Alabama 2012 NA, bid 6",1084.6666666666667
"Alabama 2012 NA, bid 7",929.7142857142857
"Alabama 2012 democrat, bid 1",693498.0
"Alabama 2012 democrat, bid 2",346749.0
"Alabama 2012 democrat, bid 3",231166.0
"Alabama 2012 democrat, bid 4",173374.5
"Alabama 2012 democrat, bid 5",138699.6
"Alabama 2012 democrat, bid 6",115583.0
"Alabama 2012 democrat, bid 7",99071.14285714286
"Alabama 2012 republican, bid 1",1233624.0
"Alabama 2012 republican, bid 2",616812.0
"Alabama 2012 republican, bid 3",411208.0
"Alabama 2012 republican, bid 4",308406.0
"Alabama 2012 republican, bid 5",246724.8
"Alabama 2012 republican, bid 6",205604.0
"Alabama 2012 republican, bid 7",176232.0
"Alaska 2012 NA, bid 1",964.0
"Alaska 2012 democrat, bid 1",82927.0
"Alaska 2012 libertarian, bid 1",15028.0
"Alaska 2012 nominated by petition, bid 1",5589.0
"Alaska 2012 republican, bid 1",185296.0
"Arizona 2012 NA, bid 1",58.0
"Arizona 2012 NA, bid 2",29.0
"Arizona 2012 NA, bid 3",19.333333333333332
"Arizona 2012 NA, bid 4",14.5
"Arizona 2012 NA, bid 5",11.6
"Arizona 2012 NA, bid 6",9.666666666666666
"Arizona 2012 NA, bid 7",8.285714285714286
"Arizona 2012 NA, bid 8",7.25
"Arizona 2012 NA, bid 9",6.444444444444445
"Arizona 2012 americans elect, bid 1",6740.0
"Arizona 2012 americans elect, bid 2",3370.0
"Arizona 2012 americans elect, bid 3",2246.6666666666665
"Arizona 2012 americans elect, bid 4",1685.0
"Arizona 2012 americans elect, bid 5",1348.0
"Arizona 2012 americans elect, bid 6",1123.3333333333333
"Arizona 2012 americans elect, bid 7",962.8571428571429
"Arizona 2012 americans elect, bid 8",842.5
"Arizona 2012 americans elect, bid 9",748.8888888888889
"Arizona 2012 democrat, bid 1",946994.0
"Arizona 2012 democrat, bid 2",473497.0
"Arizona 2012 democrat, bid 3",315664.6666666667
"Arizona 2012 democrat, bid 4",236748.5
"Arizona 2012 democrat, bid 5",189398.8
"Arizona 2012 democrat, bid 6",157832.33333333334
"Arizona 2012 democrat, bid 7",135284.85714285713
"Arizona 2012 democrat, bid 8",118374.25
"Arizona 2012 democrat, bid 9",105221.55555555556
"Arizona 2012 green, bid 1",5637.0
"Arizona 2012 green, bid 2",2818.5
"Arizona 2012 green, bid 3",1879.0
"Arizona 2012 green, bid 4",1409.25
"Arizona 2012 green, bid 5",1127.4
"Arizona 2012 green, bid 6",939.5
"Arizona 2012 green, bid 7",805.2857142857143
"Arizona 2012 green, bid 8",704.625
"Arizona 2012 green, bid 9",626.3333333333334
"Arizona 2012 libertarian, bid 1",82225.0
"Arizona 2012 libertarian, bid 2",41112.5
"Arizona 2012 libertarian, bid 3",27408.333333333332
"Arizona 2012 libertarian, bid 4",20556.25
"Arizona 2012 libertarian, bid 5",16445.0
"Arizona 2012 libertarian, bid 6",13704.166666666666
"Arizona 2012 libertarian, bid 7",11746.42857142857
"Arizona 2012 libertarian, bid 8",10278.125
"Arizona 2012 libertarian, bid 9",9136.111111111111
"Arizona 2012 republican, bid 1",1131663.0
"Arizona 2012 republican, bid 2",565831.5
"Arizona 2012 republican, bid 3",377221.0
"Arizona 2012 republican, bid 4",282915.75
"Arizona 2012 republican, bid 5",226332.6
"Arizona 2012 republican, bid 6",188610.5
"Arizona 2012 republican, bid 7",161666.14285714287
"Arizona 2012 republican, bid 8",141457.875
"Arizona 2012 republican, bid 9",125740.33333333333
"Arkansas 2012 democrat, bid 1",304770.0
"Arkansas 2012 democrat, bid 2",152385.0
"Arkansas 2012 democrat, bid 3",101590.0
"Arkansas 2012 democrat, bid 4",76192.5
"Arkansas 2012 green, bid 1",57706.0
"Arkansas 2012 green, bid 2",28853.0
"Arkansas 2012 green, bid 3",19235.333333333332
"Arkansas 2012 green, bid 4",14426.5
"Arkansas 2012 libertarian, bid 1",37987.0
"Arkansas 2012 libertarian, bid 2",18993.5
"Arkansas 2012 libertarian, bid 3",12662.333333333334
"Arkansas 2012 libertarian, bid 4",9496.75
"Arkansas 2012 republican, bid 1",637591.0
"Arkansas 2012 republican, bid 2",318795.5
"Arkansas 2012 republican, bid 3",212530.33333333334
"Arkansas 2012 republican, bid 4",159397.75
"California 2012 democrat, bid 1",7392703.0
"California 2012 democrat, bid 2",3696351.5
"California 2012 democrat, bid 3",2464234.3333333335
"California 2012 democrat, bid 4",1848175.75
"California 2012 democrat, bid 5",1478540.6
"California 2012 democrat, bid 6",1232117.1666666667
"California 2012 democrat, bid 7",1056100.4285714286
"California 2012 democrat, bid 8",924087.875
"California 2012 democrat, bid 9",821411.4444444445
"California 2012 democrat, bid 10",739270.3
"California 2012 democrat, bid 11",672063.9090909091
"California 2012 democrat, bid 12",616058.5833333334
"California 2012 democrat, bid 13",568669.4615384615
"California 2012 democrat, bid 14",528050.2142857143
"California 2012 democrat, bid 15",492846.86666666664
"California 2012 democrat, bid 16",462043.9375
"California 2012 democrat, bid 17",434864.8823529412
"California 2012 democrat, bid 18",410705.72222222225
"California 2012 democrat, bid 19",389089.63157894736
"California 2012 democrat, bid 20",369635.15
"California 2012 democrat, bid 21",352033.4761904762
"California 2012 democrat, bid 22",336031.95454545453
