,0
"Alabama 2016 , bid 1",21712.0
"Alabama 2016 , bid 2",10856.0
"Alabama 2016 , bid 3",7237.333333333333
"Alabama 2016 , bid 4",5428.0
"Alabama 2016 , bid 5",4342.4
"Alabama 2016 , bid 6",3618.6666666666665
"Alabama 2016 , bid 7",3101.714285714286
"Alabama 2016 democrat, bid 1",729547.0
"Alabama 2016 democrat, bid 2",364773.5
"Alabama 2016 democrat, bid 3",243182.33333333334
"Alabama 2016 democrat, bid 4",182386.75
"Alabama 2016 democrat, bid 5",145909.4
"Alabama 2016 democrat, bid 6",121591.16666666667
"Alabama 2016 democrat, bid 7",104221.0
"Alabama 2016 green, bid 1",9391.0
"Alabama 2016 green, bid 2",4695.5
"Alabama 2016 green, bid 3",3130.3333333333335
"Alabama 2016 green, bid 4",2347.75
"Alabama 2016 green, bid 5",1878.2
"Alabama 2016 green, bid 6",1565.1666666666667
"Alabama 2016 green, bid 7",1341.5714285714287
"Alabama 2016 libertarian, bid 1",44467.0
"Alabama 2016 libertarian, bid 2",22233.5
"Alabama 2016 libertarian, bid 3",14822.333333333334
"Alabama 2016 libertarian, bid 4",11116.75
"Alabama 2016 libertarian, bid 5",8893.4
"Alabama 2016 libertarian, bid 6",7411.166666666667
"Alabama 2016 libertarian, bid 7",6352.428571428572
"Alabama 2016 republican, bid 1",1318255.0
"Alabama 2016 republican, bid 2",659127.5
"Alabama 2016 republican, bid 3",439418.3333333333
"Alabama 2016 republican, bid 4",329563.75
"Alabama 2016 republican, bid 5",263651.0
"Alabama 2016 republican, bid 6",219709.16666666666
"Alabama 2016 republican, bid 7",188322.14285714287
"Alaska 2016 , bid 1",9201.0
"Alaska 2016 constitution party, bid 1",3866.0
"Alaska 2016 democrat, bid 1",116454.0
"Alaska 2016 green, bid 1",5735.0
"Alaska 2016 libertarian, bid 1",18725.0
"Alaska 2016 no party affiliation, bid 1",1240.0
"Alaska 2016 republican, bid 1",163387.0
"Arizona 2016 american delta party, bid 1",29.0
"Arizona 2016 american delta party, bid 2",14.5
"Arizona 2016 american delta party, bid 3",9.666666666666666
"Arizona 2016 american delta party, bid 4",7.25
"Arizona 2016 american delta party, bid 5",5.8
"Arizona 2016 american delta party, bid 6",4.833333333333333
"Arizona 2016 american delta party, bid 7",4.142857142857143
"Arizona 2016 american delta party, bid 8",3.625
"Arizona 2016 american delta party, bid 9",3.2222222222222223
"Arizona 2016 constitution party, bid 1",1058.0
"Arizona 2016 constitution party, bid 2",529.0
"Arizona 2016 constitution party, bid 3",352.6666666666667
"Arizona 2016 constitution party, bid 4",264.5
"Arizona 2016 constitution party, bid 5",211.6
"Arizona 2016 constitution party, bid 6",176.33333333333334
"Arizona 2016 constitution party, bid 7",151.14285714285714
"Arizona 2016 constitution party, bid 8",132.25
"Arizona 2016 constitution party, bid 9",117.55555555555556
"Arizona 2016 democrat, bid 1",1161209.0
"Arizona 2016 democrat, bid 2",580604.5
"Arizona 2016 democrat, bid 3",387069.6666666667
"Arizona 2016 democrat, bid 4",290302.25
"Arizona 2016 democrat, bid 5",232241.8
"Arizona 2016 democrat, bid 6",193534.83333333334
"Arizona 2016 democrat, bid 7",165887.0
"Arizona 2016 democrat, bid 8",145151.125
"Arizona 2016 democrat, bid 9",129023.22222222222
"Arizona 2016 green, bid 1",34345.0
"Arizona 2016 green, bid 2",17172.5
"Arizona 2016 green, bid 3",11448.333333333334
"Arizona 2016 green, bid 4",8586.25
"Arizona 2016 green, bid 5",6869.0
"Arizona 2016 green, bid 6",5724.166666666667
"Arizona 2016 green, bid 7",4906.428571428572
"Arizona 2016 green, bid 8",4293.125
"Arizona 2016 green, bid 9",3816.1111111111113
"Arizona 2016 independent, bid 1",17473.0
"Arizona 2016 independent, bid 2",8736.5
"Arizona 2016 independent, bid 3",5824.333333333333
"Arizona 2016 independent, bid 4",4368.25
"Arizona 2016 independent, bid 5",3494.6
"Arizona 2016 independent, bid 6",2912.1666666666665
"Arizona 2016 independent, bid 7",2496.1428571428573
"Arizona 2016 independent, bid 8",2184.125
"Arizona 2016 independent, bid 9",1941.4444444444443
"Arizona 2016 libertarian, bid 1",106327.0
"Arizona 2016 libertarian, bid 2",53163.5
"Arizona 2016 libertarian, bid 3",35442.333333333336
"Arizona 2016 libertarian, bid 4",26581.75
"Arizona 2016 libertarian, bid 5",21265.4
"Arizona 2016 libertarian, bid 6",17721.166666666668
"Arizona 2016 libertarian, bid 7",15189.57142857143
"Arizona 2016 libertarian, bid 8",13290.875
"Arizona 2016 libertarian, bid 9",11814.111111111111
"Arizona 2016 no party affiliation, bid 1",311.0
"Arizona 2016 no party affiliation, bid 2",155.5
"Arizona 2016 no party affiliation, bid 3",103.66666666666667
"Arizona 2016 no party affiliation, bid 4",77.75
"Arizona 2016 no party affiliation, bid 5",62.2
"Arizona 2016 no party affiliation, bid 6",51.833333333333336
"Arizona 2016 no party affiliation, bid 7",44.42857142857143
"Arizona 2016 no party affiliation, bid 8",38.875
"Arizona 2016 no party affiliation, bid 9",34.55555555555556
"Arizona 2016 republican, bid 1",1252401.0
"Arizona 2016 republican, bid 2",626200.5
"Arizona 2016 republican, bid 3",417467.0
"Arizona 2016 republican, bid 4",313100.25
"Arizona 2016 republican, bid 5",250480.2
"Arizona 2016 republican, bid 6",208733.5
"Arizona 2016 republican, bid 7",178914.42857142858
"Arizona 2016 republican, bid 8",156550.125
"Arizona 2016 republican, bid 9",139155.66666666666
"Arizona 2016 we the people, bid 1",12.0
"Arizona 2016 we the people, bid 2",6.0
"Arizona 2016 we the people, bid 3",4.0
"Arizona 2016 we the people, bid 4",3.0
"Arizona 2016 we the people, bid 5",2.4
"Arizona 2016 we the people, bid 6",2.0
"Arizona 2016 we the people, bid 7",1.7142857142857142
"Arizona 2016 we the people, bid 8",1.5
"Arizona 2016 we the people, bid 9",1.3333333333333333
"Arkansas 2016 better for america, bid 1",13255.0
"Arkansas 2016 better for america, bid 2",6627.5
"Arkansas 2016 better for america, bid 3",4418.333333333333
"Arkansas 2016 better for america, bid 4",3313.75
"Arkansas 2016 constitution party, bid 1",4613.0
"Arkansas 2016 constitution party, bid 2",2306.5
"Arkansas 2016 constitution party, bid 3",1537.6666666666667
"Arkansas 2016 constitution party, bid 4",1153.25
"Arkansas 2016 democrat, bid 1",380494.0
"Arkansas 2016 democrat, bid 2",190247.0
"Arkansas 2016 democrat, bid 3",126831.33333333333
"Arkansas 2016 democrat, bid 4",95123.5
"Arkansas 2016 green, bid 1",9473.0
"Arkansas 2016 green, bid 2",4736.5
"Arkansas 2016 green, bid 3",3157.6666666666665
"Arkansas 2016 green, bid 4",2368.25
"Arkansas 2016 independent, bid 1",3390.0
"Arkansas 2016 independent, bid 2",1695.0
"Arkansas 2016 independent, bid 3",1130.0
"Arkansas 2016 independent, bid 4",847.5
"Arkansas 2016 libertarian, bid 1",29829.0
"Arkansas 2016 libertarian, bid 2",14914.5
"Arkansas 2016 libertarian, bid 3",9943.0
"Arkansas 2016 libertarian, bid 4",7457.25
"Arkansas 2016 prohibition, bid 1",4709.0
"Arkansas 2016 prohibition, bid 2",2354.5
"Arkansas 2016 prohibition, bid 3",1569.6666666666667
"Arkansas 2016 prohibition, bid 4",1177.25
"Arkansas 2016 republican, bid 1",684872.0
"Arkansas 2016 republican, bid 2",342436.0
"Arkansas 2016 republican, bid 3",228290.66666666666
"Arkansas 2016 republican, bid 4",171218.0
"California 2016 , bid 1",120739.0
"California 2016 , bid 2",60369.5
"California 2016 , bid 3",40246.333333333336
"California 2016 , bid 4",30184.75
"California 2016 , bid 5",24147.8
"California 2016 , bid 6",20123.166666666668
"California 2016 , bid 7",17248.428571428572
"California 2016 , bid 8",15092.375
"California 2016 , bid 9",13415.444444444445
"California 2016 , bid 10",12073.9
"California 2016 , bid 11",10976.272727272728
"California 2016 , bid 12",10061.583333333334
"California 2016 , bid 13",9287.615384615385
"California 2016 , bid 14",8624.214285714286
"California 2016 , bid 15",8049.266666666666
"California 2016 , bid 16",7546.1875
"California 2016 , bid 17",7102.294117647059
"California 2016 , bid 18",6707.722222222223
"California 2016 , bid 19",6354.684210526316
"California 2016 , bid 20",6036.95
"California 2016 , bid 21",5749.476190476191
"California 2016 , bid 22",5488.136363636364
"California 2016 , bid 23",5249.521739130435
"California 2016 , bid 24",5030.791666666667
"California 2016 , bid 25",4829.56
"California 2016 , bid 26",4643.807692307692
"California 2016 , bid 27",4471.814814814815
"California 2016 , bid 28",4312.107142857143
"California 2016 , bid 29",4163.413793103448
"California 2016 , bid 30",4024.633333333333
"California 2016 , bid 31",3894.8064516129034
"California 2016 , bid 32",3773.09375
"California 2016 , bid 33",3658.757575757576
"California 2016 , bid 34",3551.1470588235293
"California 2016 , bid 35",3449.6857142857143
"California 2016 , bid 36",3353.8611111111113
"California 2016 , bid 37",3263.2162162162163
"California 2016 , bid 38",3177.342105263158
"California 2016 , bid 39",3095.871794871795
"California 2016 , bid 40",3018.475
"California 2016 , bid 41",2944.8536585365855
"California 2016 , bid 42",2874.7380952380954
"California 2016 , bid 43",2807.8837209302324
