,0
"Alabama 2010 NA, bid 1",1699.0
"Alabama 2010 NA, bid 2",849.5
"Alabama 2010 NA, bid 3",566.3333333333334
"Alabama 2010 NA, bid 4",424.75
"Alabama 2010 NA, bid 5",339.8
"Alabama 2010 NA, bid 6",283.1666666666667
"Alabama 2010 NA, bid 7",242.71428571428572
"Alabama 2010 democrat, bid 1",515619.0
"Alabama 2010 democrat, bid 2",257809.5
"Alabama 2010 democrat, bid 3",171873.0
"Alabama 2010 democrat, bid 4",128904.75
"Alabama 2010 democrat, bid 5",103123.8
"Alabama 2010 democrat, bid 6",85936.5
"Alabama 2010 democrat, bid 7",73659.85714285714
"Alabama 2010 republican, bid 1",968181.0
"Alabama 2010 republican, bid 2",484090.5
"Alabama 2010 republican, bid 3",322727.0
"Alabama 2010 republican, bid 4",242045.25
"Alabama 2010 republican, bid 5",193636.2
"Alabama 2010 republican, bid 6",161363.5
"Alabama 2010 republican, bid 7",138311.57142857142
"Alaska 2010 , bid 1",101693.0
"Alaska 2010 NA, bid 1",82.0
"Alaska 2010 democrat, bid 1",60045.0
"Alaska 2010 libertarian, bid 1",1459.0
"Alaska 2010 nonaffiliated, bid 1",1385.0
"Alaska 2010 republican, bid 1",90839.0
"Arizona 2010 NA, bid 1",6158.0
"Arizona 2010 NA, bid 2",3079.0
"Arizona 2010 NA, bid 3",2052.6666666666665
"Arizona 2010 NA, bid 4",1539.5
"Arizona 2010 NA, bid 5",1231.6
"Arizona 2010 NA, bid 6",1026.3333333333333
"Arizona 2010 NA, bid 7",879.7142857142857
"Arizona 2010 NA, bid 8",769.75
"Arizona 2010 democrat, bid 1",592011.0
"Arizona 2010 democrat, bid 2",296005.5
"Arizona 2010 democrat, bid 3",197337.0
"Arizona 2010 democrat, bid 4",148002.75
"Arizona 2010 democrat, bid 5",118402.2
"Arizona 2010 democrat, bid 6",98668.5
"Arizona 2010 democrat, bid 7",84573.0
"Arizona 2010 democrat, bid 8",74001.375
"Arizona 2010 green, bid 1",24603.0
"Arizona 2010 green, bid 2",12301.5
"Arizona 2010 green, bid 3",8201.0
"Arizona 2010 green, bid 4",6150.75
"Arizona 2010 green, bid 5",4920.6
"Arizona 2010 green, bid 6",4100.5
"Arizona 2010 green, bid 7",3514.714285714286
"Arizona 2010 green, bid 8",3075.375
"Arizona 2010 libertarian, bid 1",80097.0
"Arizona 2010 libertarian, bid 2",40048.5
"Arizona 2010 libertarian, bid 3",26699.0
"Arizona 2010 libertarian, bid 4",20024.25
"Arizona 2010 libertarian, bid 5",16019.4
"Arizona 2010 libertarian, bid 6",13349.5
"Arizona 2010 libertarian, bid 7",11442.42857142857
"Arizona 2010 libertarian, bid 8",10012.125
"Arizona 2010 republican, bid 1",1005615.0
"Arizona 2010 republican, bid 2",502807.5
"Arizona 2010 republican, bid 3",335205.0
"Arizona 2010 republican, bid 4",251403.75
"Arizona 2010 republican, bid 5",201123.0
