,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Alabama,republican,constitution,NA,democrat,,independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,republican,democrat,NA,libertarian,nominated by petition,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,republican,democrat,libertarian,NA,green,independent,americans elect,marketing managers,jos_ pe_alosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,NA,republican,democrat,green,independent,libertarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,libertarian,republican,democrat,green,,american independent,peace and freedom,NA,independent,none,no party preference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,republican,libertarian,green,democrat,american constitution,NA,unaffiliated,none,independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,NA,democrat,socialist action,working families,republican,green,,independent,nominated by petition,libertarian,petitioning candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,libertarian,democrat,republican,blue enigma,independent party of delaware,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,NA,no party affiliation,republican,democrat,tea party,florida whig party,,libertarian,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,democrat,republican,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,democrat,republican,nonpartisan,libertarian,,none,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,republican,democrat,libertarian,independent,NA,constitution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,green,democrat,republican,independent,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,republican,libertarian,democrat,NA,independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,democrat,NA,republican,libertarian,,constitution,socialist workers,nominated by petition,none,independent,green,legal medical now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,libertarian,democrat,republican,reform,independent,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,republican,democrat,independent,libertarian,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,democrat,republican,other,no party,no party affiliation,libertarian,green,none,independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,NA,republican,democrat,,independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NA,republican,,democrat,libertarian,constitution,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,democrat,independent,republican,,tax revolt independent,liberty,citizen legislator,bring home troops,libertarian,NA,unenrolled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,democrat,no party affiliation,republican,libertarian,green,u.s. taxpayers,NA,natural law,,none,natural law party,working class,us taxpayers,no  affiliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,democrat,republican,NA,independence,party free,democratic-farmer-labor,independent,independent progressive,constitution,green,legal marijuana now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,independent,republican,constitution,reform,libertarian,democrat,veterans party of america,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,libertarian,democrat,republican,NA,constitution,independent,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,republican,libertarian,democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,democrat,republican,,NA,libertarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,libertarian,republican,democrat,independent american,independent,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,libertarian,republican,democrat,independent,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,defend american constitution,green,republican,democrat,time for change,marklovett.us,american labor,constitution,new jersey tea party,libertarian,your country again,american renaissance movement,for americans,be determined,green tea patriots,independent,agent of change,action no talk,truth vision hope,gravity buoyancy solution,independent american,reform,the people's agenda,constitutional conservative,"conservative, compassionate, creative",bob?s for jobs,no slogan,legalize marijuana,none of them,overthrow all incumbents,independent reform candidate,unity is strength,restoring america?s promise,politicians are crooks,abundant america,"change, change, change",opposing congressional gridlock,change is needed,stop boss politics,d-r party,of the people,we deserve better,wake up usa,911 truth needed,seeking inclusion,bullying breaks hearts,future.vision,start the conversation,socialist,americanindependents,people's independent progressive,for political revolution,make government work,representing the 99%,economic growth,conservative,wake up america,nsa did 911,women of power,new beginning's,financial independence,we the people,legalize marijuana party,teddy roosevelt progressive,your voice hard,time for truth,cannot be bought,other,NA,ed the barber,check this column,the inclusion candidate,"trade, health, environment","freedom, responsibility, action",new way forward,c4c 2018,never give up,"honesty, integrity, compassion"
New Mexico,democrat,republican,NA,,libertarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,democrat,,republican,constitution,conservative,independence,tax revolt,green,libertarian,"independence, vote people change",socialist worker,working families,socialist workers,we the people,conservative/libertarian,allen 4 congress,flourish every person,mr. smith goes to congress,women's equality,reform,blue lives matter,haris bhatti party,stop iran deal,transparent government,people's choice,upstate jobs,NA,independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,republican,democrat,libertarian,NA,constitution,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,democrat,republican,democratic-nonpartisan league,libertarian,NA,democratic-npl,independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,republican,green,libertarian,democrat,NA,constitution,independent,,no party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,republican,independent,democrat,libertarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,libertarian,pacific green,democrat,republican,,constitution,independent,progressive,green,nonaffiliated,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,democrat,republican,libertarian,american congress party,green,towne for congress,independent,bednarski for congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,democrat,NA,independent,republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,NA,green,libertarian,united citizens,republican,working families,democrat,independence,constitution,labor,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,democrat,independent,republican,libertarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,independent,republican,democrat,NA,green,constitution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,republican,libertarian,NA,democrat,independent,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,libertarian,republican,constitution,democrat,unaffiliated,none,independent american,NA,independent,green,united utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,democrat,independent,republican,socialist,NA,liberty union,votekiss,energy independence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,republican,independent green,democrat,NA,independent,libertarian,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,democrat,republican,independent,libertarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,democrat,republican,constitution,NA,libertarian,independent,mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,democrat,,republican,libertarian,indepdent citizen for constitutional government,coalition on government reform,independent,independent no war bailout,NA,green,trump conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,,libertarian,NA,democrat,republican,country party,constitution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
